input_file_name,width,height,bitrate [kb/s],duration [s],model_cpu_energy [kWh]
AncientThought_s014.265,2560,1440,8100,24.227405548095703,0.0005157745447794
AncientThought_s014.265,3840,2160,16800,47.14968800544739,0.0010163377192285
AncientThought_s015.265,640,360,145,8.129827737808228,0.0001604286006927
AncientThought_s015.265,960,540,1600,9.6677885055542,0.0001924964111328
AncientThought_s015.265,1280,720,3400,11.857736587524414,0.0002426883421579
AncientThought_s015.265,1920,1080,5800,17.008317708969116,0.0003624661485089
AncientThought_s015.265,2560,1440,8100,24.5103280544281,0.0005207083026674
AncientThought_s015.265,3840,2160,16800,47.35685873031616,0.0010155415261056
AncientThought_s016.265,640,360,145,7.920521974563599,0.000156298300298
AncientThought_s016.265,960,540,1600,9.378567934036257,0.0001881965965429
AncientThought_s016.265,1280,720,3400,11.30314874649048,0.0002313377776781
AncientThought_s016.265,1920,1080,5800,15.991389513015749,0.0003383067292531
AncientThought_s016.265,2560,1440,8100,22.991559505462646,0.0004879319850603
AncientThought_s016.265,3840,2160,16800,45.31876826286316,0.0009708287245644
AncientThought_s017.265,640,360,145,8.397265434265137,0.0001632801612218
AncientThought_s017.265,960,540,1600,10.07355570793152,0.000200351830191
AncientThought_s017.265,1280,720,3400,12.553608417510986,0.0002563725807931
AncientThought_s017.265,1920,1080,5800,18.16452479362488,0.0003838769573052
AncientThought_s017.265,2560,1440,8100,25.85780119895935,0.0005499092388312
AncientThought_s017.265,3840,2160,16800,50.79483079910278,0.001081365509012
AncientThought_s018.265,640,360,145,9.064896583557127,0.00018190225811
AncientThought_s018.265,960,540,1600,10.885421991348268,0.0002208531172911
AncientThought_s018.265,1280,720,3400,13.325218200683594,0.0002759800747341
AncientThought_s018.265,1920,1080,5800,19.34996724128723,0.0004145192982355
AncientThought_s018.265,2560,1440,8100,28.119166135787964,0.000607373988533
AncientThought_s018.265,3840,2160,16800,56.390467405319214,0.0012192872174527
AncientThought_s019.265,640,360,145,8.324159383773804,0.0001629685426023
AncientThought_s019.265,960,540,1600,10.202877044677734,0.0002038308102925
AncientThought_s019.265,1280,720,3400,12.875139713287354,0.0002635111927986
AncientThought_s019.265,1920,1080,5800,18.61367964744568,0.0003954372831768
AncientThought_s019.265,2560,1440,8100,26.48483419418335,0.0005667754517555
AncientThought_s019.265,3840,2160,16800,51.27509140968323,0.0010995658491187
AncientThought_s020.265,640,360,145,8.761723756790161,0.0001750397701634
AncientThought_s020.265,960,540,1600,9.995755910873411,0.0002014700135813
AncientThought_s020.265,1280,720,3400,12.098487138748167,0.0002476157034397
AncientThought_s020.265,1920,1080,5800,16.860010147094727,0.000358930882687
AncientThought_s020.265,2560,1440,8100,23.939868450164795,0.0005101851965268
AncientThought_s020.265,3840,2160,16800,47.28968381881714,0.0010162027611732
AncientThought_s021.265,640,360,145,9.153997659683228,0.0001838936418745
AncientThought_s021.265,960,540,1600,11.598690748214722,0.0002314583175977
AncientThought_s021.265,1280,720,3400,14.866631746292114,0.000307574092351
AncientThought_s021.265,1920,1080,5800,22.500128030776978,0.0004815027398586
AncientThought_s021.265,2560,1440,8100,31.464568853378296,0.000676138624027
AncientThought_s021.265,3840,2160,16800,66.69178104400635,0.0014464706288655
AncientThought_s022.265,640,360,145,9.875571727752686,0.000195755777359
AncientThought_s022.265,960,540,1600,12.010100603103638,0.0002420702499336
AncientThought_s022.265,1280,720,3400,14.931203842163086,0.0003099054308573
AncientThought_s022.265,1920,1080,5800,21.54052352905273,0.0004609672035217
AncientThought_s022.265,2560,1440,8100,30.76105284690857,0.0006610208467324
AncientThought_s022.265,3840,2160,16800,61.6076250076294,0.0013307247001647
AncientThought_s023.265,640,360,145,9.201641321182253,0.0001828059409141
AncientThought_s023.265,960,540,1600,11.140781164169312,0.0002238059149424
AncientThought_s023.265,1280,720,3400,13.897702693939207,0.0002875280268457
AncientThought_s023.265,1920,1080,5800,20.430378198623657,0.0004367560850461
AncientThought_s023.265,2560,1440,8100,30.009105920791622,0.0006428617357254
AncientThought_s023.265,3840,2160,16800,58.49806022644043,0.001264858057785
AncientThought_s024.265,640,360,145,8.141473770141602,0.0001595728858947
AncientThought_s024.265,960,540,1600,9.773010492324827,0.0001930712517261
AncientThought_s024.265,1280,720,3400,12.39255714416504,0.0002506050444708
AncientThought_s024.265,1920,1080,5800,17.813369750976562,0.000375664175415
AncientThought_s024.265,2560,1440,8100,25.81065559387207,0.0005506273193359
AncientThought_s024.265,3840,2160,16800,50.71417546272278,0.0010886642999331
AncientThought_s025.265,640,360,145,8.668352127075195,0.0001704775918324
AncientThought_s025.265,960,540,1600,10.774041891098022,0.0002130866062906
AncientThought_s025.265,1280,720,3400,13.264019250869753,0.0002714702606678
AncientThought_s025.265,1920,1080,5800,19.56399726867676,0.0004156262530856
AncientThought_s025.265,2560,1440,8100,28.0818395614624,0.0006021994483735
AncientThought_s025.265,3840,2160,16800,54.54627132415772,0.00118183587869
AncientThought_s026.265,640,360,145,8.677564144134521,0.0001720086048126
AncientThought_s026.265,960,540,1600,10.58021330833435,0.0002092531076537
AncientThought_s026.265,1280,720,3400,13.025448083877563,0.0002662980497148
AncientThought_s026.265,1920,1080,5800,19.02293562889099,0.0004058226267496
AncientThought_s026.265,2560,1440,8100,27.4441556930542,0.0005866950617048
AncientThought_s026.265,3840,2160,16800,53.91236138343811,0.0011645070058822
AncientThought_s027.265,640,360,145,6.673522233963013,0.000126352020963
AncientThought_s027.265,960,540,1600,8.369912385940552,0.0001662822594006
AncientThought_s027.265,1280,720,3400,10.330287456512451,0.0002066057491302
AncientThought_s027.265,1920,1080,5800,15.2433762550354,0.0003211271264394
AncientThought_s027.265,2560,1440,8100,21.72869753837585,0.0004587169480323
AncientThought_s027.265,3840,2160,16800,41.05656933784485,0.0008703992699623
AncientThought_s028.265,640,360,145,6.565979480743408,0.0001282554658571
AncientThought_s028.265,960,540,1600,8.630367517471313,0.0001737580660184
AncientThought_s028.265,1280,720,3400,11.432210683822632,0.000235757589213
AncientThought_s028.265,1920,1080,5800,17.076244592666626,0.000365052162181
AncientThought_s028.265,2560,1440,8100,24.64807891845703,0.0005296598292032
AncientThought_s028.265,3840,2160,16800,49.7973096370697,0.0010767284950415
AncientThought_s029.265,640,360,145,7.850720167160034,0.0001540485757244
AncientThought_s029.265,960,540,1600,9.814749002456663,0.0001962949800491
AncientThought_s029.265,1280,720,3400,12.426353931427002,0.0002559828909873
AncientThought_s029.265,1920,1080,5800,17.494775533676147,0.0003708892413139
AncientThought_s029.265,2560,1440,8100,24.626446962356567,0.0005259114562405
AncientThought_s029.265,3840,2160,16800,47.99518394470215,0.0010324297346327
AncientThought_s030.265,640,360,145,1.8251197338104248,2.6241165950563223e-05
AncientThought_s030.265,960,540,1600,2.3920233249664307,3.3169390106201174e-05
AncientThought_s030.265,1280,720,3400,2.9728360176086426,4.446041421890258e-05
AncientThought_s030.265,1920,1080,5800,4.297140836715698,6.951818953620063e-05
AncientThought_s030.265,2560,1440,8100,6.3595240116119385,0.0001074052944183
AncientThought_s030.265,3840,2160,16800,12.37791347503662,0.000216751018185
AncientThought_s031.265,640,360,145,1.164224624633789,1.5859326553344727e-05
AncientThought_s031.265,960,540,1600,1.4963278770446775,2.051631778081258e-05
AncientThought_s031.265,1280,720,3400,1.8504197597503664,2.7098369370566475e-05
AncientThought_s031.265,1920,1080,5800,3.06550931930542,4.802631266911824e-05
AncientThought_s031.265,2560,1440,8100,4.812214136123657,7.667461190223696e-05
AncientThought_s031.265,3840,2160,16800,9.798697710037231,0.0001539484284665
AncientThought_s032.265,640,360,145,1.5294756889343262,2.195647322336833e-05
AncientThought_s032.265,960,540,1600,2.1299619674682617,3.000879749721951e-05
AncientThought_s032.265,1280,720,3400,2.67210054397583,4.103158835305108e-05
AncientThought_s032.265,1920,1080,5800,4.3541131019592285,7.198800328572593e-05
AncientThought_s032.265,2560,1440,8100,6.372403144836426,0.0001094637251324
AncientThought_s032.265,3840,2160,16800,11.744011163711548,0.0002129580691019
AncientThought_s033.265,640,360,145,1.2512438297271729,1.64886131339603e-05
AncientThought_s033.265,960,540,1600,1.5617220401763916,2.134353454907735e-05
AncientThought_s033.265,1280,720,3400,1.990208625793457,2.874745792812772e-05
AncientThought_s033.265,1920,1080,5800,3.2065582275390625,5.073487684461807e-05
AncientThought_s033.265,2560,1440,8100,4.958200931549072,8.010249060524835e-05
AncientThought_s033.265,3840,2160,16800,10.33354353904724,0.0001621218164126
AncientThought_s034.265,640,360,145,1.3512790203094482,1.852753678957621e-05
AncientThought_s034.265,960,540,1600,1.794968843460083,2.4690793646706472e-05
AncientThought_s034.265,1280,720,3400,2.294485330581665,3.385640576680501e-05
AncientThought_s034.265,1920,1080,5800,3.5573503971099854,5.628518850538466e-05
AncientThought_s034.265,2560,1440,8100,5.403152942657471,8.885184839036731e-05
AncientThought_s034.265,3840,2160,16800,10.238656282424929,0.0001736021054108
AncientThought_s035.265,640,360,145,1.2492115497589111,1.737792066997952e-05
AncientThought_s035.265,960,540,1600,1.611506462097168,2.2596901724073623e-05
AncientThought_s035.265,1280,720,3400,2.110883951187134,3.100653981632656e-05
AncientThought_s035.265,1920,1080,5800,3.3929920196533203,5.436327213711209e-05
AncientThought_s035.265,2560,1440,8100,5.249354124069214,8.772254002888997e-05
AncientThought_s035.265,3840,2160,16800,11.301968812942505,0.0001898730760574
AncientThought_s036.265,640,360,145,1.170879602432251,1.6314255793889362e-05
AncientThought_s036.265,960,540,1600,1.5054948329925537,2.084273957676357e-05
AncientThought_s036.265,1280,720,3400,1.9435415267944336,2.815975723266601e-05
AncientThought_s036.265,1920,1080,5800,3.4280014038085938,5.081059858534071e-05
AncientThought_s036.265,2560,1440,8100,5.063127756118774,8.022244644694859e-05
AncientThought_s036.265,3840,2160,16800,10.56477689743042,0.0001678625662591
Basketball_s000.265,640,360,145,10.72115445137024,0.0002144230890274
Basketball_s000.265,960,540,1600,12.110157012939451,0.0002440869424608
Basketball_s000.265,1280,720,3400,13.850193738937378,0.0002828517343574
Basketball_s000.265,1920,1080,5800,17.885079383850098,0.0003759841132693
Basketball_s000.265,2560,1440,8100,24.269038677215576,0.0005161215558687
Basketball_s000.265,3840,2160,16800,48.416714668273926,0.0010393454748789
Basketball_s001.265,640,360,145,10.744155883789062,0.0002117792504204
Basketball_s001.265,960,540,1600,11.806097745895386,0.0002361219549179
Basketball_s001.265,1280,720,3400,13.217886447906494,0.0002687636911074
Basketball_s001.265,1920,1080,5800,16.64968514442444,0.0003507533670425
Basketball_s001.265,2560,1440,8100,22.62047791481018,0.0004780460999329
Basketball_s001.265,3840,2160,16800,45.17694091796875,0.0009617668755425
Beauty_s000.265,640,360,145,13.648101329803469,0.0002717488620334
Beauty_s000.265,960,540,1600,15.7713782787323,0.0003147266154289
Beauty_s000.265,1280,720,3400,18.78275251388549,0.0003840029402838
Beauty_s000.265,1920,1080,5800,25.271031856536865,0.0005391153462727
Beauty_s000.265,2560,1440,8100,34.38269901275635,0.0007334975789388
Beauty_s000.265,3840,2160,16800,59.43571877479553,0.0012785283505333
Bosohorus_s000.265,640,360,145,11.971918106079102,0.0002381081489986
Bosohorus_s000.265,960,540,1600,13.666948318481444,0.0002760723560333
Bosohorus_s000.265,1280,720,3400,16.063366889953613,0.0003294775030983
Bosohorus_s000.265,1920,1080,5800,21.819865465164185,0.0004606416042645
Bosohorus_s000.265,2560,1440,8100,30.25369668006897,0.0006467568045828
Bosohorus_s000.265,3840,2160,16800,58.19552397727966,0.0012518503824445
BundNightScape_s000.265,640,360,145,10.87918782234192,0.0002161331980705
BundNightScape_s000.265,960,540,1600,11.877512693405151,0.0002375502538681
BundNightScape_s000.265,1280,720,3400,13.191852807998655,0.0002691137972831
BundNightScape_s000.265,1920,1080,5800,16.14234685897827,0.0003371956899431
BundNightScape_s000.265,2560,1440,8100,20.47501969337464,0.0004258804096221
BundNightScape_s000.265,3840,2160,16800,35.540295124053955,0.0007187037458419
BundNightScape_s001.265,640,360,145,10.92063021659851,0.0002157431169456
BundNightScape_s001.265,960,540,1600,11.956568479537964,0.0002378028619819
BundNightScape_s001.265,1280,720,3400,13.217339515686035,0.0002675776955286
BundNightScape_s001.265,1920,1080,5800,15.939873456954956,0.0003311951484945
BundNightScape_s001.265,2560,1440,8100,20.09590601921081,0.0004193345722675
BundNightScape_s001.265,3840,2160,16800,34.6950204372406,0.0007085494173738
Bunny_s000.265,640,360,145,5.628669023513794,9.418639499346416e-05
Bunny_s000.265,960,540,1600,6.677680015563965,0.0001172303824954
Bunny_s000.265,1280,720,3400,7.960177659988403,0.0001441676620642
Bunny_s000.265,1920,1080,5800,10.661269664764404,0.0002073024657037
Bunny_s000.265,2560,1440,8100,14.58326005935669,0.0002913411287413
Bunny_s000.265,3840,2160,16800,27.311213731765747,0.000557148760128
Bunny_s001.265,640,360,145,5.714121580123901,9.714006686210631e-05
Bunny_s001.265,960,540,1600,6.81671142578125,0.0001199741210937
Bunny_s001.265,1280,720,3400,8.003901720046997,0.0001470939271661
Bunny_s001.265,1920,1080,5800,10.855094194412231,0.0002127598462104
Bunny_s001.265,2560,1440,8100,14.961650609970093,0.000301560380072
Bunny_s001.265,3840,2160,16800,27.92500925064087,0.0005678085214296
Busy_City_s000.265,640,360,145,5.284995079040527,0.0001034684592141
Busy_City_s000.265,960,540,1600,7.200053215026856,0.0001390410276412
Busy_City_s000.265,1280,720,3400,9.266788482666016,0.0001836883405897
Busy_City_s000.265,1920,1080,5800,13.80745792388916,0.0002908771135965
Busy_City_s000.265,2560,1440,8100,20.619346857070923,0.0004380465687857
Busy_City_s000.265,3840,2160,16800,41.74224853515625,0.0008858632744683
Busy_City_s001.265,640,360,145,6.05617356300354,0.0001106261037508
Busy_City_s001.265,960,540,1600,7.503211259841919,0.000141894061825
Busy_City_s001.265,1280,720,3400,9.235087633132936,0.0001803920451005
Busy_City_s001.265,1920,1080,5800,13.280107498168944,0.0002700288524627
Busy_City_s001.265,2560,1440,8100,18.8683500289917,0.0003966546472761
Busy_City_s001.265,3840,2160,16800,37.393391609191895,0.0007960637591467
Busy_City_s002.265,640,360,145,5.92715048789978,0.0001037909907658
Busy_City_s002.265,960,540,1600,6.918413400650024,0.0001253001538117
Busy_City_s002.265,1280,720,3400,8.145212173461914,0.0001522249652862
Busy_City_s002.265,1920,1080,5800,10.883178234100342,0.0002135521417935
Busy_City_s002.265,2560,1440,8100,14.738243579864502,0.0002983675533612
Busy_City_s002.265,3840,2160,16800,27.89476203918457,0.0005746320980072
Busy_City_s003.265,640,360,145,5.393684387207031,9.492884521484376e-05
Busy_City_s003.265,960,540,1600,6.199046611785889,0.000114888997205
Busy_City_s003.265,1280,720,3400,7.394212484359741,0.0001401614055368
Busy_City_s003.265,1920,1080,5800,10.122127294540403,0.0001997433119455
Busy_City_s003.265,2560,1440,8100,14.035760879516602,0.0002828985581715
Busy_City_s003.265,3840,2160,16800,27.10188388824463,0.0005576965440114
Busy_City_s004.265,640,360,145,5.83397912979126,0.0001095491636594
Busy_City_s004.265,960,540,1600,6.896542072296143,0.000134252685674
Busy_City_s004.265,1280,720,3400,8.298336505889893,0.0001641226553387
Busy_City_s004.265,1920,1080,5800,11.362849712371826,0.0002333171807607
Busy_City_s004.265,2560,1440,8100,15.888224124908447,0.0003287097035619
Busy_City_s004.265,3840,2160,16800,30.47432541847229,0.0006379292120933
Busy_City_s005.265,640,360,145,5.4853596687316895,0.0001001992366154
Busy_City_s005.265,960,540,1600,6.863022804260254,0.0001246019918017
Busy_City_s005.265,1280,720,3400,8.400215864181519,0.0001556840006828
Busy_City_s005.265,1920,1080,5800,11.587811470031738,0.0002322712432437
Busy_City_s005.265,2560,1440,8100,16.43962812423706,0.0003368297140121
Busy_City_s005.265,3840,2160,16800,32.59046578407288,0.0006764332231627
Busy_City_s006.265,640,360,145,5.113462448120117,9.1928691567315e-05
Busy_City_s006.265,960,540,1600,6.171249866485596,0.0001109453587108
Busy_City_s006.265,1280,720,3400,7.4677183628082275,0.0001375719671726
Busy_City_s006.265,1920,1080,5800,10.15698790550232,0.0001995283846325
Busy_City_s006.265,2560,1440,8100,14.049917936325071,0.0002869305462996
Busy_City_s006.265,3840,2160,16800,27.588006019592285,0.0005701521244049
Busy_City_s007.265,640,360,145,5.102305889129639,8.843996874491374e-05
Busy_City_s007.265,960,540,1600,6.990365028381348,0.0001222537172741
Busy_City_s007.265,1280,720,3400,8.872596263885498,0.0001642416152848
Busy_City_s007.265,1920,1080,5800,13.354215383529665,0.0002736130351914
Busy_City_s007.265,2560,1440,8100,19.60934329032898,0.0004104889195442
Busy_City_s007.265,3840,2160,16800,41.02036905288696,0.000876924333975
Busy_City_s008.265,640,360,145,5.179793834686279,9.645927185482448e-05
Busy_City_s008.265,960,540,1600,6.548079490661621,0.0001249955618328
Busy_City_s008.265,1280,720,3400,8.228859424591064,0.000159639872837
Busy_City_s008.265,1920,1080,5800,11.63326859474182,0.000238869781812
Busy_City_s008.265,2560,1440,8100,16.506494522094727,0.0003470031959533
Busy_City_s008.265,3840,2160,16800,32.991976737976074,0.0006964972866906
Busy_City_s009.265,640,360,145,5.721850395202637,0.0001054091995027
Busy_City_s009.265,960,540,1600,6.945193529129028,0.0001310326512495
Busy_City_s009.265,1280,720,3400,8.55243730545044,0.0001642067962646
Busy_City_s009.265,1920,1080,5800,12.01590895652771,0.000244056461917
Busy_City_s009.265,2560,1440,8100,17.215101718902588,0.0003580741157531
Busy_City_s009.265,3840,2160,16800,34.97321677207947,0.0007344375522136
Busy_City_s010.265,640,360,145,5.2662622928619385,0.0001015803482267
Busy_City_s010.265,960,540,1600,6.34104323387146,0.0001221707663059
Busy_City_s010.265,1280,720,3400,7.643364191055298,0.0001489606754567
Busy_City_s010.265,1920,1080,5800,10.473860263824465,0.0002148305116335
Busy_City_s010.265,2560,1440,8100,14.903857231140137,0.0003109938208897
Busy_City_s010.265,3840,2160,16800,30.900190353393555,0.0006427239593505
Busy_City_s011.265,640,360,145,5.291865348815918,0.0001003102476119
Busy_City_s011.265,960,540,1600,6.457699060440064,0.0001229832909954
Busy_City_s011.265,1280,720,3400,7.817307710647583,0.00015096089779
Busy_City_s011.265,1920,1080,5800,10.845465898513794,0.0002214885146829
Busy_City_s011.265,2560,1440,8100,15.395532608032228,0.0003195428323533
Busy_City_s011.265,3840,2160,16800,31.62158870697021,0.0006584317470762
Busy_City_s012.265,640,360,145,5.561349153518677,0.0001024524099614
Busy_City_s012.265,960,540,1600,6.600724697113037,0.0001254137692451
Busy_City_s012.265,1280,720,3400,7.931101560592651,0.0001547446037822
Busy_City_s012.265,1920,1080,5800,10.985959768295288,0.0002216722548802
Busy_City_s012.265,2560,1440,8100,15.374104976654053,0.0003187564431826
Busy_City_s012.265,3840,2160,16800,30.42598581314087,0.0006430025001843
Busy_City_s013.265,640,360,145,6.307577133178711,0.0001171807662963
Busy_City_s013.265,960,540,1600,7.449289798736572,0.0001398811084429
Busy_City_s013.265,1280,720,3400,8.66273832321167,0.0001653620493253
Busy_City_s013.265,1920,1080,5800,11.264103412628174,0.0002237801877975
Busy_City_s013.265,2560,1440,8100,14.991870403289797,0.0003084993776321
Busy_City_s013.265,3840,2160,16800,28.04580569267273,0.0005783668373955
Busy_City_s014.265,640,360,145,5.895537614822388,0.0001118842027346
Busy_City_s014.265,960,540,1600,7.491052150726318,0.0001423299908638
Busy_City_s014.265,1280,720,3400,9.264676332473757,0.000181999419509
Busy_City_s014.265,1920,1080,5800,13.277082681655884,0.0002758682734966
Busy_City_s014.265,2560,1440,8100,19.27013635635376,0.0004029599624739
Busy_City_s014.265,3840,2160,16800,38.41522216796875,0.0008144027099609
Busy_City_s015.265,640,360,145,5.616998195648193,0.0001017300784322
Busy_City_s015.265,960,540,1600,7.269015312194824,0.0001373036225636
Busy_City_s015.265,1280,720,3400,9.141340970993042,0.0001795765648523
Busy_City_s015.265,1920,1080,5800,13.685335636138916,0.0002843508626619
Busy_City_s015.265,2560,1440,8100,20.231329917907715,0.0004239587580574
Busy_City_s015.265,3840,2160,16800,41.165119647979736,0.0008717857561005
Busy_City_s016.265,640,360,145,5.60706639289856,0.000109026290973
Busy_City_s016.265,960,540,1600,7.5651466846466064,0.0001469319600529
Busy_City_s016.265,1280,720,3400,9.799547910690308,0.0001964264936765
Busy_City_s016.265,1920,1080,5800,14.9726243019104,0.0003134269353866
Busy_City_s016.265,2560,1440,8100,22.37975525856018,0.0004749481393761
Busy_City_s016.265,3840,2160,16800,45.07355785369873,0.000966577407307
Busy_City_s017.265,640,360,145,5.338963985443115,0.0001015589593675
Busy_City_s017.265,960,540,1600,6.866642236709595,0.000130161018398
Busy_City_s017.265,1280,720,3400,8.480464458465576,0.0001656517390886
Busy_City_s017.265,1920,1080,5800,12.294333219528198,0.0002557221309661
Busy_City_s017.265,2560,1440,8100,17.85495638847351,0.0003757476377752
Busy_City_s017.265,3840,2160,16800,36.029627084732056,0.0007670307277149
Busy_City_s018.265,640,360,145,6.2149622440338135,0.000123332472976
Busy_City_s018.265,960,540,1600,7.7946391105651855,0.0001560659964137
Busy_City_s018.265,1280,720,3400,9.704198122024536,0.0001975343439949
Busy_City_s018.265,1920,1080,5800,13.793843984603882,0.000289977253543
Busy_City_s018.265,2560,1440,8100,19.744598150253296,0.0004194630184809
