signal_key,signal_label,region,datetime,value,unit,temporality,zone,dataCenterProvider,dataCenterRegion,endpoint_used,field_used
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 22:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 22:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 22:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 22:50:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 22:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:00:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:05:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:10:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
