signal_label,region,temporality,rows,min_value,max_value,mean_value,first_time,last_time,zone,endpoint_used,field_used
Carbon-Free Energy Percentage,us-east-1,past-range,864,43.0,59.0,49.513888888888886,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-MIDA-PJM,power-breakdown,fossilFreePercentage
Carbon-Free Energy Percentage,us-east-2,latest,1,53.0,53.0,53.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-MIDA-PJM,power-breakdown,fossilFreePercentage
Carbon-Free Energy Percentage,us-east-2,past-range,864,43.0,59.0,49.513888888888886,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-MIDA-PJM,power-breakdown,fossilFreePercentage
Carbon-Free Energy Percentage,us-west-1,latest,1,92.0,92.0,92.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-CAL-CISO,power-breakdown,fossilFreePercentage
Carbon-Free Energy Percentage,us-west-1,past-range,864,58.0,96.0,79.45370370370371,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-CAL-CISO,power-breakdown,fossilFreePercentage
Carbon-Free Energy Percentage,us-west-2,latest,1,71.0,71.0,71.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-NW-PACW,power-breakdown,fossilFreePercentage
Carbon-Free Energy Percentage,us-west-2,past-range,864,61.0,80.0,70.52199074074075,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-NW-PACW,power-breakdown,fossilFreePercentage
Renewable Energy Percentage,ca-central-1,latest,1,97.0,97.0,97.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,CA-QC,power-breakdown,renewablePercentage
Renewable Energy Percentage,ca-central-1,past-range,864,92.0,97.0,95.88425925925925,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,CA-QC,power-breakdown,renewablePercentage
Renewable Energy Percentage,ca-west-1,latest,1,36.0,36.0,36.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,CA-AB,power-breakdown,renewablePercentage
Renewable Energy Percentage,ca-west-1,past-range,864,11.0,40.0,29.85648148148148,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,CA-AB,power-breakdown,renewablePercentage
Renewable Energy Percentage,sa-east-1,latest,1,86.0,86.0,86.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,BR-CS,power-breakdown,renewablePercentage
Renewable Energy Percentage,sa-east-1,past-range,864,82.0,89.0,85.46064814814815,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,BR-CS,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-east-1,latest,1,19.0,19.0,19.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-MIDA-PJM,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-east-1,past-range,864,3.0,23.0,12.837962962962964,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-MIDA-PJM,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-east-2,latest,1,19.0,19.0,19.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-MIDA-PJM,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-east-2,past-range,864,3.0,23.0,12.837962962962964,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-MIDA-PJM,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-west-1,latest,1,84.0,84.0,84.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-CAL-CISO,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-west-1,past-range,864,48.0,87.0,69.16782407407408,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-CAL-CISO,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-west-2,latest,1,67.0,67.0,67.0,2026-05-13 20:00:00+00:00,2026-05-13 20:00:00+00:00,US-NW-PACW,power-breakdown,renewablePercentage
Renewable Energy Percentage,us-west-2,past-range,864,58.0,77.0,67.18055555555556,2026-05-10 20:40:00+00:00,2026-05-13 20:35:00+00:00,US-NW-PACW,power-breakdown,renewablePercentage
