segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s014.265,960,540,10.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00019429,0.011463,0.008549,-34.1
AncientThought_s014.265,1280,720,13.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00024344,0.014363,0.010712,-34.1
AncientThought_s014.265,1920,1080,18.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00035772,0.021106,0.01574,-34.1
AncientThought_s014.265,2560,1440,26.7,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00051577,0.030431,0.022694,-34.1
AncientThought_s014.265,3840,2160,51.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00101634,0.059964,0.044719,-34.1
AncientThought_s015.265,640,360,8.9,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00016043,0.009465,0.007059,-34.1
AncientThought_s015.265,960,540,10.6,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.0001925,0.011357,0.00847,-34.1
AncientThought_s015.265,1280,720,13.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00024269,0.014319,0.010678,-34.1
AncientThought_s015.265,1920,1080,18.7,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00036247,0.021386,0.015949,-34.1
AncientThought_s015.265,2560,1440,27.0,SPATIAL,us-west-1,2026-05-13 20:00:00+00:00,40.0,44.0,59.0,44.0,0.00052071,0.030722,0.022911,-34.1
