segment,width,height,exec_time_s,decision,chosen_region,chosen_time_utc,ci_temporal,ci_spatial_now,chosen_ci,ci_baseline,energy_kwh,carbon_g,carbon_baseline_g,saving_pct
AncientThought_s002.265,960,540,10.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00018651,0.008206,0.011004,25.4
AncientThought_s002.265,1280,720,13.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00024769,0.010898,0.014614,25.4
AncientThought_s002.265,1920,1080,19.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00037949,0.016698,0.02239,25.4
AncientThought_s002.265,2560,1440,28.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00055705,0.02451,0.032866,25.4
AncientThought_s002.265,3840,2160,59.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00116011,0.051045,0.068446,25.4
AncientThought_s003.265,640,360,8.5,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00015195,0.006686,0.008965,25.4
AncientThought_s003.265,960,540,10.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00018472,0.008128,0.010899,25.4
AncientThought_s003.265,1280,720,12.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00023779,0.010463,0.014029,25.4
AncientThought_s003.265,1920,1080,18.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00035266,0.015517,0.020807,25.4
AncientThought_s003.265,2560,1440,25.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00049953,0.021979,0.029472,25.4
AncientThought_s003.265,3840,2160,50.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00099512,0.043785,0.058712,25.4
AncientThought_s004.265,640,360,7.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00012844,0.005652,0.007578,25.4
AncientThought_s004.265,960,540,9.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00016049,0.007061,0.009469,25.4
AncientThought_s004.265,1280,720,11.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00020185,0.008881,0.011909,25.4
AncientThought_s004.265,1920,1080,16.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00031126,0.013695,0.018364,25.4
AncientThought_s004.265,2560,1440,22.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00043621,0.019193,0.025737,25.4
AncientThought_s004.265,3840,2160,43.3,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00083843,0.036891,0.049467,25.4
AncientThought_s005.265,640,360,7.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00013838,0.006089,0.008164,25.4
AncientThought_s005.265,960,540,9.4,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0001703,0.007493,0.010047,25.4
AncientThought_s005.265,1280,720,11.7,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00021626,0.009516,0.01276,25.4
AncientThought_s005.265,1920,1080,17.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00033148,0.014585,0.019557,25.4
AncientThought_s005.265,2560,1440,24.2,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.0004702,0.020689,0.027742,25.4
AncientThought_s005.265,3840,2160,46.9,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00090877,0.039986,0.053618,25.4
AncientThought_s006.265,640,360,8.1,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00014594,0.006422,0.008611,25.4
AncientThought_s006.265,960,540,9.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00017213,0.007574,0.010156,25.4
AncientThought_s006.265,1280,720,11.6,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00021423,0.009426,0.012639,25.4
AncientThought_s006.265,1920,1080,16.8,SPATIAL,ca-central-1,2026-05-13 20:00:00+00:00,45.0,44.0,44.0,59.0,0.00032354,0.014236,0.019089,25.4
